Configuration,Greedy,Number of nodes,Requests per node,IRD parameter (milliseconds),CSET parameter (milliseconds),Requests satisfied,Network active time (seconds),Network throughput (requests per second),Messages sent,Average response time (milliseconds)
config_binary31,FALSE,31,300,20,5,9300,203,45,6842,482
config_binary31,FALSE,31,300,20,5,9300,201,46,6820,475
config_binary31,FALSE,31,300,20,5,9300,205,45,6958,484
config_binary31,FALSE,31,300,20,5,9300,205,45,6744,479
config_binary31,FALSE,31,300,20,5,9300,205,45,6664,481
config_binary15,FALSE,15,300,20,5,4500,99,45,2904,222
config_binary15,FALSE,15,300,20,5,4500,98,45,2828,217
config_binary15,FALSE,15,300,20,5,4500,99,45,2860,219
config_binary15,FALSE,15,300,20,5,4500,99,45,2872,221
config_binary15,FALSE,15,300,20,5,4500,98,45,2832,222
config_binary7,FALSE,7,300,20,5,2100,48,43,1088,96
config_binary7,FALSE,7,300,20,5,2100,48,43,1076,96
config_binary7,FALSE,7,300,20,5,2100,48,43,1052,95
config_binary7,FALSE,7,300,20,5,2100,48,43,1088,97
config_binary7,FALSE,7,300,20,5,2100,48,43,1080,97
config_binary3,FALSE,3,300,20,5,900,22,40,292,36
config_binary3,FALSE,3,300,20,5,900,22,40,296,37
config_binary3,FALSE,3,300,20,5,900,22,40,280,35
config_binary3,FALSE,3,300,20,5,900,23,39,288,37
config_binary3,FALSE,3,300,20,5,900,22,40,268,34
config_binary3,TRUE,3,300,20,5,900,21,42,264,33
config_binary31,TRUE,31,300,20,5,9300,187,49,5976,465
config_binary31,TRUE,31,300,20,5,9300,185,50,5888,457
config_binary31,TRUE,31,300,20,5,9300,184,50,5896,459
config_binary31,TRUE,31,300,20,5,9300,185,50,5948,458
config_binary31,TRUE,31,300,20,5,9300,187,49,6016,467
config_binary15,TRUE,15,300,20,5,4500,95,47,2736,228
config_binary15,TRUE,15,300,20,5,4500,94,47,2708,218
config_binary15,TRUE,15,300,20,5,4500,93,48,2632,217
config_binary15,TRUE,15,300,20,5,4500,92,48,2628,216
config_binary15,TRUE,15,300,20,5,4500,93,48,2652,220
config_binary7,TRUE,7,300,20,5,2100,46,45,1056,97
config_binary7,TRUE,7,300,20,5,2100,46,45,1016,93
config_binary7,TRUE,7,300,20,5,2100,46,45,1028,96
config_binary7,TRUE,7,300,20,5,2100,44,47,980,91
config_binary7,TRUE,7,300,20,5,2100,47,44,1036,95
config_binary3,TRUE,3,300,20,5,900,22,40,276,35
config_binary3,TRUE,3,300,20,5,900,22,40,272,34
config_binary3,TRUE,3,300,20,5,900,22,40,296,37
config_binary3,TRUE,3,300,20,5,900,22,40,276,35
config_binary3,TRUE,3,300,20,5,900,22,40,272,34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,890.4,
