Configuration,Greedy,Number of nodes,Requests per node,IRD parameter (milliseconds),CSET parameter (milliseconds),Requests satisfied,Network active time (seconds),Network throughput (requests per second),Messages sent,Average response time (milliseconds),Mean messages,Mean average response time,Mean throughput
config_binary31_100_100_10.txt,FALSE,31,10,100,100,310,47,6,878,3734,,,
config_binary31_100_100_10.txt,FALSE,31,10,100,100,310,46,6,870,3710,,,
config_binary31_100_100_10.txt,FALSE,31,10,100,100,310,49,6,874,3920,874,3788,6
config_binary31_100_16_10.txt,FALSE,31,10,100,16,310,25,12,718,1744,,,
config_binary31_100_16_10.txt,FALSE,31,10,100,16,310,23,13,644,1509,,,
config_binary31_100_16_10.txt,FALSE,31,10,100,16,310,25,12,710,1721,690.6666667,1658,12.33333333
config_binary31_100_33_10.txt,FALSE,31,10,100,33,310,28,11,718,2036,,,
config_binary31_100_33_10.txt,FALSE,31,10,100,33,310,29,10,748,2155,,,
config_binary31_100_33_10.txt,FALSE,31,10,100,33,310,28,11,748,2037,738,2076,10.66666667
config_binary31_100_50_10.txt,FALSE,31,10,100,50,310,32,9,736,2395,,,
config_binary31_100_50_10.txt,FALSE,31,10,100,50,310,32,9,770,2356,,,
config_binary31_100_50_10.txt,FALSE,31,10,100,50,310,33,9,770,2425,758.6666667,2392,9
config_binary31_100_66_10.txt,FALSE,31,10,100,66,310,36,8,794,2775,,,
config_binary31_100_66_10.txt,FALSE,31,10,100,66,310,35,8,794,2689,,,
config_binary31_100_66_10.txt,FALSE,31,10,100,66,310,36,8,798,2836,795.3333333,2766.666667,8
config_binary31_100_83_10.txt,FALSE,31,10,100,83,310,41,7,858,3253,,,
config_binary31_100_83_10.txt,FALSE,31,10,100,83,310,41,7,866,3328,,,
config_binary31_100_83_10.txt,FALSE,31,10,100,83,310,40,7,804,3080,842.6666667,3220.333333,7
config_binary31_16_100_10.txt,FALSE,31,10,16,100,310,40,7,670,2932,,,
config_binary31_16_100_10.txt,FALSE,31,10,16,100,310,41,7,716,3102,,,
config_binary31_16_100_10.txt,FALSE,31,10,16,100,310,40,7,656,2952,680.6666667,2995.333333,7
config_binary31_16_16_10.txt,FALSE,31,10,16,16,310,16,19,422,939,,,
config_binary31_16_16_10.txt,FALSE,31,10,16,16,310,16,19,398,935,,,
config_binary31_16_16_10.txt,FALSE,31,10,16,16,310,16,19,402,962,407.3333333,945.3333333,19
config_binary31_16_33_10.txt,FALSE,31,10,16,33,310,20,15,482,1271,,,
config_binary31_16_33_10.txt,FALSE,31,10,16,33,310,20,15,444,1191,,,
config_binary31_16_33_10.txt,FALSE,31,10,16,33,310,22,14,496,1318,474,1260,14.66666667
config_binary31_16_50_10.txt,FALSE,31,10,16,50,310,26,11,562,1794,,,
config_binary31_16_50_10.txt,FALSE,31,10,16,50,310,24,12,534,1608,,,
config_binary31_16_50_10.txt,FALSE,31,10,16,50,310,27,11,574,1941,556.6666667,1781,11.33333333
config_binary31_16_66_10.txt,FALSE,31,10,16,66,310,30,10,564,2094,,,
config_binary31_16_66_10.txt,FALSE,31,10,16,66,310,31,10,598,2240,,,
config_binary31_16_66_10.txt,FALSE,31,10,16,66,310,31,10,618,2199,593.3333333,2177.666667,10
config_binary31_16_83_10.txt,FALSE,31,10,16,83,310,35,8,650,2524,,,
config_binary31_16_83_10.txt,FALSE,31,10,16,83,310,35,8,640,2643,,,
config_binary31_16_83_10.txt,FALSE,31,10,16,83,310,35,8,636,2570,642,2579,8
config_binary31_33_100_10.txt,FALSE,31,10,33,100,310,39,7,702,2900,,,
config_binary31_33_100_10.txt,FALSE,31,10,33,100,310,42,7,742,3320,,,
config_binary31_33_100_10.txt,FALSE,31,10,33,100,310,41,7,748,3114,730.6666667,3111.333333,7
config_binary31_33_16_10.txt,FALSE,31,10,33,16,310,19,16,490,1156,,,
config_binary31_33_16_10.txt,FALSE,31,10,33,16,310,19,16,502,1168,,,
config_binary31_33_16_10.txt,FALSE,31,10,33,16,310,19,16,482,1161,491.3333333,1161.666667,16
config_binary31_33_33_10.txt,FALSE,31,10,33,33,310,21,14,502,1363,,,
config_binary31_33_33_10.txt,FALSE,31,10,33,33,310,22,14,532,1467,,,
config_binary31_33_33_10.txt,FALSE,31,10,33,33,310,24,12,562,1668,532,1499.333333,13.33333333
