IRD parameter (milliseconds),CSET parameter (milliseconds),Mean messages,Mean average response time,Mean throughput
100,100,874,3788,6
100,16,690.6666667,1658,12.33333333
100,33,738,2076,10.66666667
100,50,758.6666667,2392,9
100,66,795.3333333,2766.666667,8
100,83,842.6666667,3220.333333,7
16,100,680.6666667,2995.333333,7
16,16,407.3333333,945.3333333,19
16,33,474,1260,14.66666667
16,50,556.6666667,1781,11.33333333
16,66,593.3333333,2177.666667,10
16,83,642,2579,8
33,100,730.6666667,3111.333333,7
33,16,491.3333333,1161.666667,16
33,33,532,1499.333333,13.33333333
33,50,596,1868,11
33,66,650,2366.666667,9
33,83,687.3333333,2770.666667,8
50,100,764,3339.333333,7
50,16,562,1331.333333,15
50,33,634.6666667,1740,11.66666667
50,50,666,2095,10
50,66,684.6666667,2411.333333,9
50,83,757.3333333,2981.333333,7.666666667
66,100,830,3558.666667,6.333333333
66,16,630,1484,14
66,33,665.3333333,1833.333333,11
66,50,693.3333333,2148,10
66,66,714.6666667,2509.666667,9
66,83,785.3333333,3014.333333,7.333333333
83,100,821.3333333,3412,7
83,16,656.6666667,1629.333333,12.33333333
83,33,696.6666667,1946.666667,11
83,50,728.6666667,2264,10
83,66,770.6666667,2704,8.333333333
83,83,800,3180.666667,7
